# num_workers = 32
# num_cells = 256
# seed_for_environment = 4004
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = False
# index_to_unfreeze_encoder_updates = 50
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_model_use_pretrained_encoder = False
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 32
# Number of workers: 32
# Does torch identify cuda: False
# encoder ***RANDOM WEIGHTS***
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze	postAction_aX	postAction_bX	postAction_aY	postAction_bY
0	-1.0	7.644279956817627	1.9074815511703491	1.9165453910827637	1.9076344966888428	1.9126181602478027	True	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 0 1]	[0 0 0 0 0 0]
0	-1.0	7.698355197906494	1.9276864528656006	1.9166231155395508	1.9235588312149048	1.9304866790771484	True	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]
0	-0.5	7.689636707305908	1.9011821746826172	1.9248777627944946	1.935103416442871	1.9284733533859253	True	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 0 1]	[0 0 0 0 1 0]
0	0.125	7.708406925201416	1.935929775238037	1.915418267250061	1.9199150800704956	1.9371438026428223	True	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	-1.0	7.645112037658691	1.9077695608139038	1.9165735244750977	1.9081451892852783	1.9126231670379639	True	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 0 1]	[0 0 0 0 0 0]
0	-1.0	7.696438789367676	1.927765130996704	1.916685938835144	1.9219659566879272	1.9300216436386108	True	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]
0	-0.5	7.690887451171875	1.901470422744751	1.9264060258865356	1.9352138042449951	1.9277974367141724	True	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 0 1]	[0 0 0 0 1 0]
0	0.11749999970197678	7.709052085876465	1.9358081817626953	1.915513038635254	1.9205787181854248	1.9371519088745117	True	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	-1.0	7.644409656524658	1.9090969562530518	1.9158823490142822	1.9069287776947021	1.9125016927719116	True	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 0 1]	[0 0 0 0 0 0]
0	-1.0	7.697629451751709	1.9278043508529663	1.916519045829773	1.922814130783081	1.9304920434951782	True	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]
