# num_workers = 32
# num_cells = 256
# seed_for_environment = 49846
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 1000
# sub_batch_size = 64
# num_epochs = 10
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.0001
# reward_engineering = False
# minimum_number_of_qubits = 6
# log_name = None
# Number of workers: 32
# Does torch identify cuda: False
evaluation number	reward	policy entropy
0	-0.3333333432674408	67.86483001708984
0	-0.3333333432674408	71.24209594726562
0	-1.0	71.72498321533203
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
0	-0.3333333432674408	71.0650405883789
0	-1.0	71.05404663085938
0	-1.0	71.452880859375
1	-0.3333333432674408	4.226511001586914
1	-1.0	4.895269870758057
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
1	-1.0	4.783201694488525
1	-1.0	4.811697959899902
2	-1.0	1.6606626510620117
2	-1.0	2.9625260829925537
2	-0.3333333432674408	2.1755433082580566
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
2	-0.3333333432674408	2.1805529594421387
3	-1.0	2.961442760351929e-06
3	-1.0	1.3609973393613473e-05
3	-1.0	1.3609973393613473e-05
