# num_workers = 96
# num_cells = 256
# seed_for_environment = 1982
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 10000
# frames_per_batch = 1000
# sub_batch_size = 64
# num_epochs = 10
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.001
# reward_engineering = True
# minimum_number_of_qubits = 8
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = False
# env_l = 6
# env_m = 6
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy
0	-0.5	9.9399995803833
0	-0.75	10.480984687805176
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
0	-0.75	10.540169715881348
1	-0.25	0.00037742717540822923
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
1	-0.25	2.675311225175392e-05
2	-0.25	0.0003774274082388729
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
2	-0.25	2.6752535632112995e-05
3	-0.25	0.0004033637815155089
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
3	-0.25	2.846708957804367e-05
4	-0.25	0.00048551824875175953
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
4	-0.25	3.948495941585861e-05
5	-0.25	2.0197389858367387e-06
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
5	-0.25	2.746425031840971e-10
