# num_workers = 32
# num_cells = 256
# seed_for_environment = 6006
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 0
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 32
# Number of workers: 32
# Does torch identify cuda: False
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze	postAction_aX	postAction_bX	postAction_aY	postAction_bY
0	-0.6666666865348816	7.507606506347656	1.9077237844467163	1.8938273191452026	1.8115296363830566	1.8945252895355225	False	[0 0 0 0 1 0]	[0 0 0 0 0 1]	[0 0 1 0 0 0]	[0 0 1 0 0 0]
0	-0.3333333432674408	7.747257709503174	1.9379111528396606	1.9417600631713867	1.9356777667999268	1.9319090843200684	False	[0 0 1 0 1 0]	[0 1 0 0 0 1]	[0 0 0 0 0 0]	[0 0 1 0 1 0]
0	-0.6666666865348816	7.689774036407471	1.927007794380188	1.9343180656433105	1.9110314846038818	1.917417049407959	False	[0 0 0 0 1 0]	[0 1 1 0 0 1]	[0 0 1 0 0 0]	[0 0 1 0 1 1]
0	-0.8333333134651184	7.725019454956055	1.9288676977157593	1.9385861158370972	1.9244041442871094	1.9331618547439575	False	[0 0 1 0 1 0]	[0 0 1 0 0 1]	[0 0 1 1 0 0]	[1 0 1 0 1 1]
0	-0.5	7.721344947814941	1.935951590538025	1.936119794845581	1.9370979070663452	1.9121758937835693	False	[0 0 0 0 1 0]	[0 0 0 0 0 1]	[1 0 1 1 0 0]	[0 0 1 0 1 1]
0	-0.6666666865348816	7.735795974731445	1.933136224746704	1.9417659044265747	1.9367411136627197	1.9241524934768677	False	[0 0 1 0 1 0]	[0 1 0 0 0 1]	[0 0 1 1 0 0]	[0 1 1 0 1 1]
0	-0.8333333134651184	7.747163772583008	1.940577507019043	1.9385135173797607	1.939765214920044	1.9283075332641602	False	[0 0 0 0 1 0]	[0 0 0 0 0 1]	[1 0 1 1 0 0]	[1 1 1 0 1 1]
0	-1.0	7.735387802124023	1.9413564205169678	1.9382950067520142	1.9387884140014648	1.916947603225708	False	[0 0 1 0 1 0]	[0 1 0 0 0 1]	[0 0 1 1 0 0]	[1 1 1 0 1 1]
0	-1.0	7.748218536376953	1.9401401281356812	1.9386404752731323	1.9419324398040771	1.9275057315826416	False	[0 0 0 0 1 0]	[0 1 1 0 0 1]	[1 0 1 1 0 0]	[0 1 1 0 1 1]
0	-1.0	7.7392048835754395	1.9357380867004395	1.93771231174469	1.937180757522583	1.9285740852355957	False	[0 0 1 0 1 0]	[0 0 1 0 0 1]	[1 0 1 0 0 0]	[1 1 1 0 1 1]
0	-1.0	7.721867084503174	1.9375989437103271	1.9295580387115479	1.9283809661865234	1.9263291358947754	False	[0 0 0 0 1 0]	[1 0 1 0 0 1]	[0 0 1 0 0 0]	[0 1 1 0 1 1]
0	-1.0	7.727552890777588	1.9382216930389404	1.9310206174850464	1.929478645324707	1.9288320541381836	False	[0 0 1 0 1 0]	[0 0 1 0 0 1]	[0 0 1 1 0 0]	[0 0 1 0 1 1]
0	-1.0	7.721594333648682	1.9321835041046143	1.9374871253967285	1.9379255771636963	1.9139982461929321	False	[0 0 0 0 1 0]	[0 0 0 0 0 1]	[1 0 1 1 0 0]	[1 0 1 0 1 1]
0	-0.8333333134651184	7.732538223266602	1.9346106052398682	1.940280795097351	1.9390723705291748	1.9185744524002075	False	[0 0 1 0 1 0]	[0 0 0 0 1 1]	[0 0 1 1 0 0]	[1 0 1 0 1 1]
0	-0.8333333134651184	7.728965759277344	1.9431182146072388	1.937459111213684	1.936428427696228	1.911960244178772	False	[0 0 0 0 1 0]	[0 0 1 0 1 1]	[1 0 1 1 0 0]	[1 1 1 0 1 1]
0	-0.6666666865348816	7.7182416915893555	1.94187331199646	1.9328367710113525	1.9365990161895752	1.9069327116012573	False	[0 0 1 0 1 0]	[0 1 1 0 1 1]	[0 0 1 1 0 0]	[1 0 1 0 1 1]
0	-0.6666666865348816	7.727332592010498	1.9403239488601685	1.9386420249938965	1.9377175569534302	1.9106494188308716	False	[0 0 0 0 1 0]	[1 1 1 0 1 1]	[1 0 1 1 0 0]	[0 0 1 0 1 1]
0	-0.8333333134651184	7.72428035736084	1.9376815557479858	1.9370629787445068	1.9342021942138672	1.91533362865448	False	[0 0 1 0 1 0]	[1 0 1 0 1 1]	[0 0 1 1 0 0]	[1 0 1 0 1 1]
0	-0.6666666865348816	7.725879669189453	1.9361224174499512	1.939130425453186	1.9360524415969849	1.914574384689331	False	[0 0 0 0 1 0]	[1 1 1 0 1 1]	[1 0 1 1 0 0]	[0 0 1 0 1 1]
0	-0.8333333134651184	7.723154544830322	1.9372309446334839	1.937053918838501	1.9355642795562744	1.9133057594299316	False	[0 0 1 0 1 0]	[1 0 1 0 1 1]	[0 0 1 1 0 0]	[0 1 1 0 1 1]
0	-0.3333333432674408	7.724528789520264	1.941648006439209	1.9348329305648804	1.9384791851043701	1.909568190574646	False	[0 1 1 0 1 0]	[1 1 1 0 1 1]	[1 0 1 1 0 0]	[1 1 1 0 1 1]
