# num_workers = 32
# num_cells = 256
# seed_for_environment = 4004
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = False
# index_to_unfreeze_encoder_updates = 0
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_model_use_pretrained_encoder = False
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 32
# Number of workers: 32
# Does torch identify cuda: False
# encoder ***RANDOM WEIGHTS***
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze	postAction_aX	postAction_bX	postAction_aY	postAction_bY
0	-0.5	7.635917663574219	1.8942428827285767	1.9158228635787964	1.922208547592163	1.9036438465118408	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[1 0 0 0 0 0]	[0 0 0 1 0 0]
0	0.13500000536441803	7.681047439575195	1.914262056350708	1.9306660890579224	1.9240572452545166	1.9120614528656006	False	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.646569728851318	1.8967766761779785	1.920240044593811	1.9319815635681152	1.8975716829299927	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.14000000059604645	7.693509101867676	1.920577049255371	1.930468201637268	1.928019404411316	1.9144442081451416	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.650341033935547	1.9056708812713623	1.921918272972107	1.9252879619598389	1.8974640369415283	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.12999999523162842	7.690225124359131	1.9204424619674683	1.9292281866073608	1.928133249282837	1.9124213457107544	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.652825355529785	1.9071729183197021	1.9226182699203491	1.9252246618270874	1.8978092670440674	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.14499999582767487	7.691628456115723	1.920148253440857	1.9305603504180908	1.9279868602752686	1.912933111190796	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.654633522033691	1.9077739715576172	1.9227522611618042	1.9249053001403809	1.8992018699645996	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.13249999284744263	7.69066858291626	1.919994831085205	1.929980993270874	1.928340196609497	1.9123526811599731	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.653382301330566	1.9080708026885986	1.9228544235229492	1.9250216484069824	1.8974350690841675	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.1574999988079071	7.6922149658203125	1.9210742712020874	1.9300835132598877	1.9290573596954346	1.9119994640350342	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.653234958648682	1.9072809219360352	1.9234212636947632	1.9244624376296997	1.8980703353881836	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.13249999284744263	7.692416191101074	1.920264482498169	1.9304325580596924	1.9287002086639404	1.9130192995071411	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.653355121612549	1.9066606760025024	1.9231317043304443	1.925128698348999	1.8984341621398926	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.12999999523162842	7.692564487457275	1.920810341835022	1.9303593635559082	1.9277997016906738	1.913595199584961	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.653591156005859	1.9068161249160767	1.923731803894043	1.924778938293457	1.8982644081115723	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.1274999976158142	7.6913652420043945	1.9203628301620483	1.9299399852752686	1.9281156063079834	1.9129469394683838	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.654211044311523	1.9077266454696655	1.9224778413772583	1.925879955291748	1.8981266021728516	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.12999999523162842	7.692601203918457	1.9206708669662476	1.9307712316513062	1.9288134574890137	1.9123456478118896	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.650734901428223	1.9064433574676514	1.9220082759857178	1.9247665405273438	1.8975167274475098	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.13500000536441803	7.694995403289795	1.921439528465271	1.9309239387512207	1.928755521774292	1.913875937461853	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.652017593383789	1.9064100980758667	1.9223270416259766	1.9246907234191895	1.898589849472046	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.14000000059604645	7.691965103149414	1.9207255840301514	1.930525302886963	1.9278743267059326	1.9128400087356567	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.651703834533691	1.9063092470169067	1.922776460647583	1.9249571561813354	1.8976609706878662	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.14499999582767487	7.690970420837402	1.9199327230453491	1.9309316873550415	1.9283989667892456	1.9117066860198975	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
0	-0.5	7.651482105255127	1.9068461656570435	1.9231503009796143	1.9251372814178467	1.8963485956192017	False	[0 0 0 0 0 1]	[0 0 0 1 0 0]	[0 0 1 0 0 0]	[0 0 0 1 0 0]
0	0.13500000536441803	7.692650318145752	1.9210189580917358	1.9299979209899902	1.9284981489181519	1.9131351709365845	False	[1 0 0 0 0 1]	[0 0 0 0 0 0]	[1 0 1 0 0 0]	[0 0 0 0 0 0]
