# num_workers = 7
# num_cells = 256
# seed_for_environment = 3141592
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 8
# log_name = search_9_6_seed_3141592
# env_error_range = linear5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 9
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_error_range = [np.float64(0.0001), np.float64(0.025075), np.float64(0.05005), np.float64(0.075025), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 7
# Does torch identify cuda: False
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze	postAction_aX	postAction_bX	postAction_aY	postAction_bY
0	-0.75	8.368548393249512	2.2576406002044678	2.2820186614990234	1.9076941013336182	1.9211952686309814	True	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 0 0 0 0]
0	0.2549999952316284	8.449413299560547	2.287619113922119	2.2856192588806152	1.9354742765426636	1.9407000541687012	True	[0 1 0 0 0 1 0 0 0]	[0 1 0 0 0 0 0 1 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	-0.75	8.442584991455078	2.2804269790649414	2.2920002937316895	1.936562418937683	1.9335952997207642	True	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 0 0 0 0]
0	0.25	8.457011222839355	2.292309284210205	2.2858219146728516	1.938403844833374	1.940476655960083	True	[0 1 0 0 0 1 0 0 0]	[0 1 0 0 0 0 0 1 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	-0.75	8.446076393127441	2.2807657718658447	2.2927658557891846	1.9394053220748901	1.9331395626068115	True	[0 1 0 0 0 1 1 0 0]	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 0 0 0 0]
0	-1.0	8.457082748413086	2.2886040210723877	2.289341688156128	1.935391902923584	1.9437451362609863	True	[0 1 0 0 0 0 1 0 0]	[0 1 0 0 0 0 0 1 0]	[0 0 0 0 0 0]	[1 0 0 0 0 0]
0	0.25999999046325684	8.456454277038574	2.294349193572998	2.2830517292022705	1.9387036561965942	1.9403495788574219	True	[0 1 0 0 0 0 0 0 0]	[0 1 0 1 0 0 0 1 0]	[0 0 0 0 1 0]	[1 0 0 0 0 0]
0	0.2549999952316284	8.43941879272461	2.281327247619629	2.2880659103393555	1.9366605281829834	1.9333651065826416	True	[0 1 0 0 0 0 1 0 0]	[0 1 0 1 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	0.23999999463558197	8.435317039489746	2.2781858444213867	2.2859811782836914	1.9411218166351318	1.9300280809402466	True	[0 1 0 0 0 0 0 0 0]	[0 1 0 1 0 0 0 1 0]	[0 0 0 0 1 0]	[1 0 0 0 0 0]
0	0.25999999046325684	8.441754341125488	2.281249761581421	2.290597438812256	1.9381763935089111	1.931731104850769	True	[0 1 0 0 0 0 1 0 0]	[0 1 0 1 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 0 0]
0	-0.5	8.436656951904297	2.278319835662842	2.2850542068481445	1.9412833452224731	1.9319993257522583	True	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 0 0]
0	-0.75	8.443107604980469	2.284872531890869	2.287069320678711	1.9325125217437744	1.9386534690856934	True	[0 1 0 0 0 1 0 0 0]	[0 1 0 0 0 0 0 1 0]	[0 1 0 0 1 0]	[1 0 1 0 0 0]
0	-1.0	8.442956924438477	2.281385898590088	2.2897396087646484	1.9387482404708862	1.9330830574035645	True	[0 1 0 0 0 1 1 0 0]	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 1 0 0 0]
0	-0.75	8.4478759765625	2.289801597595215	2.2819607257843018	1.937180995941162	1.938933253288269	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[1 0 1 0 0 0]
0	-1.0	8.442899703979492	2.2819836139678955	2.2898037433624268	1.9402128458023071	1.9308998584747314	True	[0 1 0 0 0 1 1 0 0]	[0 1 0 0 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 1 0 0 0]
0	-0.75	8.444259643554688	2.2894961833953857	2.2792959213256836	1.9358398914337158	1.9396281242370605	True	[0 1 0 0 0 1 0 0 0]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[1 0 1 0 0 0]
0	-0.25	8.449305534362793	2.283573865890503	2.291480541229248	1.9397886991500854	1.9344629049301147	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[1 0 0 0 0 0]
0	-0.25	8.449617385864258	2.2886805534362793	2.288008451461792	1.9379327297210693	1.9349961280822754	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.445894241333008	2.280933380126953	2.2938392162323	1.9349437952041626	1.9361779689788818	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.464479446411133	2.294271945953369	2.288986921310425	1.9407685995101929	1.9404520988464355	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.446390151977539	2.2818455696105957	2.294194221496582	1.9336999654769897	1.9366505146026611	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.45368766784668	2.292591094970703	2.285905361175537	1.9399683475494385	1.9352223873138428	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.446785926818848	2.28063702583313	2.292710304260254	1.9385292530059814	1.934909462928772	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.465572357177734	2.2940282821655273	2.290274143218994	1.940596342086792	1.940674066543579	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.4459228515625	2.280837297439575	2.2929365634918213	1.9369133710861206	1.935235857963562	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.462626457214355	2.2944211959838867	2.2890701293945312	1.9397834539413452	1.9393515586853027	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.443841934204102	2.2786149978637695	2.2934865951538086	1.9374547004699707	1.9342856407165527	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.464625358581543	2.2946979999542236	2.290107011795044	1.940591812133789	1.9392285346984863	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
0	-1.0	8.448467254638672	2.2817177772521973	2.2939703464508057	1.9369909763336182	1.9357879161834717	True	[0 1 0 0 0 1 0 0 1]	[0 1 0 1 0 0 0 1 0]	[0 1 0 0 0 0]	[0 0 0 0 0 0]
0	-0.25	8.458303451538086	2.2933363914489746	2.2882163524627686	1.9397114515304565	1.9370393753051758	True	[0 1 0 0 0 1 1 0 1]	[0 1 0 1 0 0 0 0 0]	[0 1 0 0 1 0]	[0 0 0 0 0 0]
