# num_workers = 15
# num_cells = 256
# seed_for_environment = 1533185143
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = experiment_12_6_seed_1533185143.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126_H6_s6000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 15
# Does torch identify cuda: False
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.96992301940918	2026-08-08_17-18-42	2.5412302017211914	2026-08-08_17-18-42	2.553778648376465	2026-08-08_17-18-42	1.9318928718566895	2026-08-08_17-18-42	1.9430210590362549	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.97838020324707	2026-08-08_17-18-42	2.5543251037597656	2026-08-08_17-18-42	2.5525925159454346	2026-08-08_17-18-42	1.9319685697555542	2026-08-08_17-18-42	1.9394941329956055	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.966612815856934	2026-08-08_17-18-42	2.543140411376953	2026-08-08_17-18-42	2.550563335418701	2026-08-08_17-18-42	1.9316413402557373	2026-08-08_17-18-42	1.941267967224121	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.9867582321167	2026-08-08_17-18-42	2.5492992401123047	2026-08-08_17-18-42	2.5564818382263184	2026-08-08_17-18-42	1.9410045146942139	2026-08-08_17-18-42	1.9399728775024414	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.974699020385742	2026-08-08_17-18-42	2.5481390953063965	2026-08-08_17-18-42	2.552241802215576	2026-08-08_17-18-42	1.9337061643600464	2026-08-08_17-18-42	1.9406113624572754	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.977087020874023	2026-08-08_17-18-42	2.551865339279175	2026-08-08_17-18-42	2.5526013374328613	2026-08-08_17-18-42	1.9327504634857178	2026-08-08_17-18-42	1.9398702383041382	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 1 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.974621772766113	2026-08-08_17-18-42	2.546729564666748	2026-08-08_17-18-42	2.552138328552246	2026-08-08_17-18-42	1.9336501359939575	2026-08-08_17-18-42	1.9421039819717407	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.990010261535645	2026-08-08_17-18-42	2.5505571365356445	2026-08-08_17-18-42	2.5571675300598145	2026-08-08_17-18-42	1.9418549537658691	2026-08-08_17-18-42	1.9404308795928955	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 0]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.971096992492676	2026-08-08_17-18-42	2.5444724559783936	2026-08-08_17-18-42	2.5513763427734375	2026-08-08_17-18-42	1.932983636856079	2026-08-08_17-18-42	1.9422645568847656	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 1 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 0]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
0	2026-08-08_17-18-42	-1.0	2026-08-08_17-18-42	8.99345588684082	2026-08-08_17-18-42	2.552468776702881	2026-08-08_17-18-42	2.5588672161102295	2026-08-08_17-18-42	1.9410990476608276	2026-08-08_17-18-42	1.9410209655761719	2026-08-08_17-18-42	True	2026-08-08_17-18-42	[1 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 1]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-08_17-18-42	[0 1 0 0 0 1 0 1 0 0 1 1]	2026-08-08_17-18-42	[1 1 0 0 1 0]	2026-08-08_17-18-42	[0 0 0 0 0 0]	2026-08-08_17-18-42	[0]	2026-08-08_17-18-42
