# num_workers = 11
# num_cells = 256
# seed_for_environment = 89469384
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 100
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 16
# log_name = experiment_21_18_seed_89469384.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 21
# env_m = 18
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126-153_H7_s2000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 12
# Number of workers: 11
# Does torch identify cuda: True
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.97844409942627	2026-08-08_19-43-20	3.071704864501953	2026-08-08_19-43-20	3.064976930618286	2026-08-08_19-43-20	2.920341730117798	2026-08-08_19-43-20	2.9214210510253906	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.989463806152344	2026-08-08_19-43-20	3.0699338912963867	2026-08-08_19-43-20	3.067676067352295	2026-08-08_19-43-20	2.927891492843628	2026-08-08_19-43-20	2.923962116241455	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.97398567199707	2026-08-08_19-43-20	3.070042848587036	2026-08-08_19-43-20	3.0639379024505615	2026-08-08_19-43-20	2.9191291332244873	2026-08-08_19-43-20	2.9208760261535645	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.989638328552246	2026-08-08_19-43-20	3.0705857276916504	2026-08-08_19-43-20	3.067596912384033	2026-08-08_19-43-20	2.926750421524048	2026-08-08_19-43-20	2.9247055053710938	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.978405952453613	2026-08-08_19-43-20	3.0711686611175537	2026-08-08_19-43-20	3.0650699138641357	2026-08-08_19-43-20	2.9203293323516846	2026-08-08_19-43-20	2.92183780670166	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.987346649169922	2026-08-08_19-43-20	3.0700316429138184	2026-08-08_19-43-20	3.067416191101074	2026-08-08_19-43-20	2.926553726196289	2026-08-08_19-43-20	2.9233460426330566	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.979730606079102	2026-08-08_19-43-20	3.0707061290740967	2026-08-08_19-43-20	3.0657222270965576	2026-08-08_19-43-20	2.9208903312683105	2026-08-08_19-43-20	2.9224119186401367	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.989171981811523	2026-08-08_19-43-20	3.0699856281280518	2026-08-08_19-43-20	3.067603349685669	2026-08-08_19-43-20	2.928081750869751	2026-08-08_19-43-20	2.9235010147094727	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-0.25	2026-08-08_19-43-20	11.986042022705078	2026-08-08_19-43-20	3.0740303993225098	2026-08-08_19-43-20	3.06681227684021	2026-08-08_19-43-20	2.920694351196289	2026-08-08_19-43-20	2.9245047569274902	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[12]	2026-08-08_19-43-20
0	2026-08-08_19-43-20	-1.0	2026-08-08_19-43-20	11.989715576171875	2026-08-08_19-43-20	3.0719759464263916	2026-08-08_19-43-20	3.0666768550872803	2026-08-08_19-43-20	2.9283370971679688	2026-08-08_19-43-20	2.922725200653076	2026-08-08_19-43-20	True	2026-08-08_19-43-20	[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[12]	2026-08-08_19-43-20	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]	2026-08-08_19-43-20	[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]	2026-08-08_19-43-20	[0]	2026-08-08_19-43-20
