# num_workers = 15
# num_cells = 256
# seed_for_environment = 1533185143
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = experiment_12_6_seed_1533185143.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 12
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_mix_66-96-126-153_H7_s4000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 15
# Does torch identify cuda: False
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.98582935333252	2026-08-09_17-23-46	2.5548033714294434	2026-08-09_17-23-46	2.550144672393799	2026-08-09_17-23-46	1.9375276565551758	2026-08-09_17-23-46	1.9433534145355225	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 0 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.993192672729492	2026-08-09_17-23-46	2.557868719100952	2026-08-09_17-23-46	2.5554561614990234	2026-08-09_17-23-46	1.935041069984436	2026-08-09_17-23-46	1.9448270797729492	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.993734359741211	2026-08-09_17-23-46	2.55641770362854	2026-08-09_17-23-46	2.5553321838378906	2026-08-09_17-23-46	1.937671184539795	2026-08-09_17-23-46	1.944313883781433	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 1 0 0 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-0.6666666865348816	2026-08-09_17-23-46	8.985958099365234	2026-08-09_17-23-46	2.5571742057800293	2026-08-09_17-23-46	2.5523526668548584	2026-08-09_17-23-46	1.933081865310669	2026-08-09_17-23-46	1.9433493614196777	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 1 0 0 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[4]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.983192443847656	2026-08-09_17-23-46	2.5520870685577393	2026-08-09_17-23-46	2.5499985218048096	2026-08-09_17-23-46	1.9368683099746704	2026-08-09_17-23-46	1.9442387819290161	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[4]	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 1 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.988168716430664	2026-08-09_17-23-46	2.556973695755005	2026-08-09_17-23-46	2.55328631401062	2026-08-09_17-23-46	1.933876872062683	2026-08-09_17-23-46	1.9440321922302246	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 1 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 1 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.98790168762207	2026-08-09_17-23-46	2.5572874546051025	2026-08-09_17-23-46	2.551287889480591	2026-08-09_17-23-46	1.9353020191192627	2026-08-09_17-23-46	1.9440243244171143	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 1 1 1]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 1 0 1 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-46	-1.0	2026-08-09_17-23-46	8.989651679992676	2026-08-09_17-23-46	2.5571374893188477	2026-08-09_17-23-46	2.55501651763916	2026-08-09_17-23-46	1.9344984292984009	2026-08-09_17-23-46	1.9429993629455566	2026-08-09_17-23-46	True	2026-08-09_17-23-46	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 0]	2026-08-09_17-23-46	[0 1 0 1 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-46	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-46	[0 0 0 0 1 1]	2026-08-09_17-23-46	[0 0 0 1 1 0]	2026-08-09_17-23-46	[0]	2026-08-09_17-23-46
0	2026-08-09_17-23-47	-1.0	2026-08-09_17-23-47	8.987953186035156	2026-08-09_17-23-47	2.554927349090576	2026-08-09_17-23-47	2.553844451904297	2026-08-09_17-23-47	1.9350260496139526	2026-08-09_17-23-47	1.9441550970077515	2026-08-09_17-23-47	True	2026-08-09_17-23-47	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 1]	2026-08-09_17-23-47	[0 0 0 1 1 0]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 1 1 1]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47
0	2026-08-09_17-23-47	-1.0	2026-08-09_17-23-47	8.98684310913086	2026-08-09_17-23-47	2.5567970275878906	2026-08-09_17-23-47	2.55248761177063	2026-08-09_17-23-47	1.9334077835083008	2026-08-09_17-23-47	1.9441511631011963	2026-08-09_17-23-47	True	2026-08-09_17-23-47	[0 0 1 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 1 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 1 1 1]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47	[0 0 0 0 1 0 0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 0 0 1 0 0 0 0 1 0]	2026-08-09_17-23-47	[0 0 0 0 1 1]	2026-08-09_17-23-47	[0 1 0 1 1 1]	2026-08-09_17-23-47	[0]	2026-08-09_17-23-47
