# num_workers = 11
# num_cells = 256
# seed_for_environment = 321132391
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 100
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.03
# env_reward_engineering = True
# env_minimum_number_of_qubits = 16
# log_name = experiment_21_18_seed_321132391.txt
# env_error_range = geometric5
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 21
# env_m = 18
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# env_reset_type = random3
# env_max_step = 30
# env_max_decoding_usage = 1073741824
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/sweep2/g5_ground_anch_H6_s6000.pth
# model_use_pretrained_encoder = True
# index_to_unfreeze_encoder_updates = 20
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_env_max_step = 30
# Resolved_env_max_decoding_usage = 1073741824
# Resolved_env_reset_type = random3
# Resolved_env_error_range = [np.float64(0.001), np.float64(0.003162), np.float64(0.01), np.float64(0.031623), np.float64(0.1)]
# Resolved_model_use_pretrained_encoder = True
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 12
# Number of workers: 11
# Does torch identify cuda: True
evaluation number	time	reward	time	policy entropy	time	policy entropy aX	time	policy entropy bX	time	policy entropy aY	time	policy entropy bY	time	Encoder freeze	time	preAction_aX	time	preAction_bX	time	preAction_aY	time	preAction_bY	time	preAction_k	time	postAction_aX	time	postAction_bX	time	postAction_aY	time	postAction_bY	time	postAction_k	time
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	12.021463394165039	2026-08-11_20-03-19	3.072299003601074	2026-08-11_20-03-19	3.0810773372650146	2026-08-11_20-03-19	2.9370224475860596	2026-08-11_20-03-19	2.9310643672943115	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	11.99682331085205	2026-08-11_20-03-19	3.066283941268921	2026-08-11_20-03-19	3.0733935832977295	2026-08-11_20-03-19	2.93226957321167	2026-08-11_20-03-19	2.9248759746551514	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	12.016352653503418	2026-08-11_20-03-19	3.069722890853882	2026-08-11_20-03-19	3.082174301147461	2026-08-11_20-03-19	2.936089277267456	2026-08-11_20-03-19	2.928365707397461	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	11.989090919494629	2026-08-11_20-03-19	3.067317485809326	2026-08-11_20-03-19	3.0642151832580566	2026-08-11_20-03-19	2.932846784591675	2026-08-11_20-03-19	2.9247114658355713	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	12.02308464050293	2026-08-11_20-03-19	3.0731866359710693	2026-08-11_20-03-19	3.083184242248535	2026-08-11_20-03-19	2.9370617866516113	2026-08-11_20-03-19	2.9296512603759766	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	11.987653732299805	2026-08-11_20-03-19	3.064258337020874	2026-08-11_20-03-19	3.0672554969787598	2026-08-11_20-03-19	2.9315409660339355	2026-08-11_20-03-19	2.9245991706848145	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	12.017114639282227	2026-08-11_20-03-19	3.0701050758361816	2026-08-11_20-03-19	3.0823426246643066	2026-08-11_20-03-19	2.9359054565429688	2026-08-11_20-03-19	2.9287612438201904	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	11.988161087036133	2026-08-11_20-03-19	3.0679850578308105	2026-08-11_20-03-19	3.0647926330566406	2026-08-11_20-03-19	2.931792736053467	2026-08-11_20-03-19	2.9235901832580566	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	12.025753021240234	2026-08-11_20-03-19	3.0749614238739014	2026-08-11_20-03-19	3.0811238288879395	2026-08-11_20-03-19	2.9362168312072754	2026-08-11_20-03-19	2.93345046043396	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
0	2026-08-11_20-03-19	-1.0	2026-08-11_20-03-19	11.992071151733398	2026-08-11_20-03-19	3.0665526390075684	2026-08-11_20-03-19	3.0688440799713135	2026-08-11_20-03-19	2.932023763656616	2026-08-11_20-03-19	2.9246506690979004	2026-08-11_20-03-19	True	2026-08-11_20-03-19	[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]	2026-08-11_20-03-19	[0]	2026-08-11_20-03-19
