maple1: UNREACHABLE
maple2: UNREACHABLE
maple3: UNREACHABLE
maple4: UNREACHABLE
maple5: UNREACHABLE
maple6: UNREACHABLE
maple7: UNREACHABLE
maple8: UNREACHABLE
maple9: UNREACHABLE
maple10: OCCUPIED
yew01: LAUNCHED-21 18
yew02: LAUNCHED-21 18
yew03: LAUNCHED-21 18
yew04: LAUNCHED-15 3
yew05: LAUNCHED-21 18
yew06: LAUNCHED-12 6
yew07: LAUNCHED-21 18
yew08: LAUNCHED-9 6
yew09: LAUNCHED-21 18
yew10: LAUNCHED-15 3
yew11: OCCUPIED
yew12: LAUNCHED-21 18
yew13: OCCUPIED
yew14: LAUNCHED-15 3
yew15: LAUNCHED-21 18
yew16: LAUNCHED-12 6
yew17: LAUNCHED-21 18
yew18: LAUNCHED-9 6
yew19: LAUNCHED-21 18
yew20: LAUNCHED-15 3
yew21: LAUNCHED-21 18
yew22: LAUNCHED-21 18
yew23: LAUNCHED-21 18
yew24: LAUNCHED-15 3
yew25: LAUNCHED-21 18
yew26: LAUNCHED-12 6
yew27: LAUNCHED-21 18
yew28: LAUNCHED-9 6
yew29: LAUNCHED-21 18
yew30: LAUNCHED-15 3
yew31: LAUNCHED-21 18
yew32: LAUNCHED-21 18
yew33: LAUNCHED-21 18
yew34: LAUNCHED-15 3
yew35: LAUNCHED-21 18
yew36: LAUNCHED-12 6
yew37: LAUNCHED-21 18
yew38: LAUNCHED-9 6
yew39: LAUNCHED-21 18
yew40: LAUNCHED-15 3
yew41: LAUNCHED-21 18
yew42: LAUNCHED-21 18
yew43: LAUNCHED-21 18
yew44: LAUNCHED-15 3
rowan01: OCCUPIED
rowan02: LAUNCHED-12 6
rowan03: LAUNCHED-21 18
rowan04: LAUNCHED-9 6
rowan05: LAUNCHED-21 18
rowan06: LAUNCHED-15 3
rowan07: LAUNCHED-21 18
rowan08: LAUNCHED-21 18
rowan09: LAUNCHED-21 18
rowan10: LAUNCHED-15 3
rowan11: LAUNCHED-21 18
rowan12: LAUNCHED-12 6
rowan13: LAUNCHED-21 18
rowan14: LAUNCHED-9 6
rowan15: LAUNCHED-21 18
rowan16: LAUNCHED-15 3
rowan17: LAUNCHED-21 18
rowan18: LAUNCHED-21 18
rowan19: LAUNCHED-21 18
rowan20: LAUNCHED-15 3
rowan21: LAUNCHED-21 18
rowan22: LAUNCHED-12 6
rowan23: LAUNCHED-21 18
rowan24: LAUNCHED-9 6
rowan25: LAUNCHED-21 18
rowan26: LAUNCHED-15 3
poplar01: UNREACHABLE
poplar02: LAUNCHED-21 18
poplar03: LAUNCHED-21 18
poplar04: LAUNCHED-15 3
poplar05: LAUNCHED-21 18
poplar06: LAUNCHED-12 6
poplar07: LAUNCHED-21 18
poplar08: LAUNCHED-9 6
poplar09: LAUNCHED-21 18
poplar10: LAUNCHED-15 3
poplar11: LAUNCHED-21 18
poplar12: LAUNCHED-21 18
poplar13: LAUNCHED-21 18
poplar14: LAUNCHED-15 3
poplar15: LAUNCHED-21 18
poplar16: LAUNCHED-12 6
poplar17: LAUNCHED-21 18
poplar18: LAUNCHED-9 6
poplar19: LAUNCHED-21 18
poplar20: LAUNCHED-15 3
poplar21: LAUNCHED-21 18
poplar22: LAUNCHED-21 18
poplar23: LAUNCHED-21 18
poplar24: LAUNCHED-15 3
poplar25: LAUNCHED-21 18
poplar26: LAUNCHED-12 6
poplar27: LAUNCHED-21 18
poplar28: LAUNCHED-9 6
poplar29: LAUNCHED-21 18
poplar30: LAUNCHED-15 3
poplar31: LAUNCHED-21 18
poplar32: LAUNCHED-21 18
poplar33: LAUNCHED-21 18
poplar34: LAUNCHED-15 3
poplar35: LAUNCHED-21 18
poplar36: LAUNCHED-12 6
poplar37: LAUNCHED-21 18
poplar38: LAUNCHED-9 6
poplar39: LAUNCHED-21 18
poplar40: LAUNCHED-15 3
ash01: LAUNCHED-21 18
ash02: LAUNCHED-21 18
ash03: LAUNCHED-21 18
ash04: OCCUPIED
ash05: OCCUPIED
ash06: OCCUPIED
ash07: LAUNCHED-21 18
ash08: LAUNCHED-9 6
ash09: LAUNCHED-21 18
ash10: LAUNCHED-15 3
ash11: LAUNCHED-21 18
ash12: OCCUPIED
ash13: LAUNCHED-21 18
ash14: LAUNCHED-15 3
ash15: LAUNCHED-21 18
ash16: LAUNCHED-12 6
ash17: LAUNCHED-21 18
ash18: LAUNCHED-9 6
ash19: LAUNCHED-21 18
ash20: LAUNCHED-15 3
ash21: LAUNCHED-21 18
ash22: LAUNCHED-21 18
ash23: LAUNCHED-21 18
ash24: LAUNCHED-15 3
ash25: LAUNCHED-21 18
ash26: LAUNCHED-12 6
ash27: OCCUPIED
ash28: LAUNCHED-9 6
ash29: LAUNCHED-21 18
ash30: LAUNCHED-15 3
ash31: LAUNCHED-21 18
ash32: LAUNCHED-21 18
ash33: LAUNCHED-21 18
ash34: LAUNCHED-15 3
ash35: LAUNCHED-21 18
ash36: LAUNCHED-12 6
ash37: LAUNCHED-21 18
ash38: LAUNCHED-9 6
ash39: LAUNCHED-21 18
ash40: LAUNCHED-15 3
ash41: LAUNCHED-21 18
beech01: LAUNCHED-21 18
beech02: LAUNCHED-21 18
beech03: UNREACHABLE
beech04: LAUNCHED-21 18
beech05: LAUNCHED-12 6
beech06: LAUNCHED-21 18
beech07: LAUNCHED-9 6
beech08: LAUNCHED-21 18
beech09: LAUNCHED-15 3
