@ash10 CPU 16 10.01
@ash10 MEM 15909 10348
@ash10 GPU 3, 81, 2048
@ash10 PS  151255  0.1 11624 systemd
@ash10 PS  151256  0.0  3432 (sd-pam)
@ash10 PS  151267  0.0  6372 pipewire
@ash10 PS  151268  0.0  4568 pipewire
@ash10 PS  151270  0.0 13260 wireplumber
@ash10 PS  151272  0.0  7944 pipewire-pulse
@ash10 PS  151289  0.0  3980 dbus-daemon
@ash10 PS  151326  0.0  3260 bash
@ash10 PS  151331  0.0  2216 bash
@ash10 PS  151341  0.0  1980 bash
@ash10 PS  151346  0.0  1976 timeout
@ash10 PS  151348 99.8 2076264 python
@ash10 PS  151367  0.0  1936 timeout
@ash10 PS  151369 99.8 2141232 python
@ash10 PS  151399  0.0  1976 timeout
@ash10 PS  151401 99.8 2061432 python
@ash10 PS  151419  0.0  1972 timeout
@ash10 PS  151421 99.8 2171292 python
@ash10 PS  151713  0.0  6020 python
@ash10 PS  151714  0.0  5968 python
@ash10 PS  151715  0.0  6068 python
@ash10 PS  151716  0.0  5876 python
@ash10 PS  151717 50.2 393200 python
@ash10 PS  151718 27.1 405476 python
@ash10 PS  151719 55.1 409660 python
@ash10 PS  151720 52.1 402980 python
@ash10 PS  151721 26.5 418396 python
@ash10 PS  151723 92.4 421836 python
@ash10 PS  151733 39.1 399488 python
@ash10 PS  151736 43.4 394672 python
@ash10 PS  151740 65.1 410080 python
@ash10 PS  151746 43.5 392904 python
@ash10 PS  151749 53.9 395764 python
@ash10 PS  151751 62.4 400340 python
@ash10 PS  435605  0.0  2084 sleep
@ash10 PS  439473  0.0  2072 sleep
@ash10 PS  442121  0.0  7004 sshd
@ash10 PS  442122  0.0  3636 bash
@ash10 PS  442133  0.0  4592 ps
@ash10 PS  442134  0.0  2324 sed
@ash10 SIZE 8 21,18
@ash10 SEEN 1785191855
