@beech08 CPU 16 11.00
@beech08 MEM 13864 9261
@beech08 GPU 0, 82, 4096
@beech08 PS 3117322  0.1 11788 systemd
@beech08 PS 3117323  0.0  3444 (sd-pam)
@beech08 PS 3117334  0.0  6304 pipewire
@beech08 PS 3117335  0.0  4756 pipewire
@beech08 PS 3117337  0.0 13728 wireplumber
@beech08 PS 3117339  0.0  8176 pipewire-pulse
@beech08 PS 3117356  0.0  4344 dbus-daemon
@beech08 PS 3117401  0.0  3192 bash
@beech08 PS 3117406  0.0  2152 bash
@beech08 PS 3117416  0.0  1924 bash
@beech08 PS 3117421  0.0  1852 timeout
@beech08 PS 3117423 99.9 1821028 python
@beech08 PS 3117465  0.0  1848 timeout
@beech08 PS 3117467 99.9 1837092 python
@beech08 PS 3117486  0.0  1876 timeout
@beech08 PS 3117488 99.9 1826792 python
@beech08 PS 3117507  0.0  1888 timeout
@beech08 PS 3117509 99.9 1840124 python
@beech08 PS 3117753  0.0  4040 python
@beech08 PS 3117754  0.0  4060 python
@beech08 PS 3117755  0.0  4036 python
@beech08 PS 3117756  0.0  4088 python
@beech08 PS 3117757 68.3 118304 python
@beech08 PS 3117758 61.2 131316 python
@beech08 PS 3117759 84.5 110384 python
@beech08 PS 3117760 80.1 119848 python
@beech08 PS 3117761 41.5 116276 python
@beech08 PS 3117762 59.7 105352 python
@beech08 PS 3117763 23.5 106280 python
@beech08 PS 3117764 35.8 128916 python
@beech08 PS 3117765 18.4 113760 python
@beech08 PS 3117766 40.3 129972 python
@beech08 PS 3117767 11.8 157092 python
@beech08 PS 3117768 47.6 166776 python
@beech08 PS 3850659  0.0  2004 sleep
@beech08 PS 3850799  0.0  1980 sleep
@beech08 PS 3852931  0.0  7000 sshd
@beech08 PS 3852932  0.0  3500 bash
@beech08 PS 3852943  200  4592 ps
@beech08 PS 3852944  0.0  2244 sed
@beech08 SIZE 8 21,18
@beech08 SEEN 1785225891
