@gpu12 CPU 8 2.04
@gpu12 MEM 64219 46964
@gpu12 GPU 0, 80, 12288
@gpu12 PS 1217340  0.0 11556 systemd
@gpu12 PS 1217341  0.0  2832 (sd-pam)
@gpu12 PS 1217354  0.0  7064 pipewire
@gpu12 PS 1217355  0.0  5044 pipewire
@gpu12 PS 1217359  0.0  8580 pipewire-pulse
@gpu12 PS 1217375  0.0  4436 dbus-daemon
@gpu12 PS 1217406  0.0  1344 ssh-agent
@gpu12 PS 1218106  0.0  1316 ssh-agent
@gpu12 PS 1244665  0.0  1348 ssh-agent
@gpu12 PS 1306048  0.0  1300 ssh-agent
@gpu12 PS 1308483  0.0  1228 ssh-agent
@gpu12 PS 1313553  0.0  1228 ssh-agent
@gpu12 PS 1317643  0.0  1240 ssh-agent
@gpu12 PS 1327917  0.0  1292 ssh-agent
@gpu12 PS 1331816  0.0  1224 ssh-agent
@gpu12 PS 1337523  0.0  1256 ssh-agent
@gpu12 PS 1356078  0.0  1304 ssh-agent
@gpu12 PS 1385162  0.0  1320 ssh-agent
@gpu12 PS 1390832  0.0  1192 ssh-agent
@gpu12 PS 1391116  0.0  1344 ssh-agent
@gpu12 PS 1402993  0.0   748 ssh-agent
@gpu12 PS 1404252  0.0   804 ssh-agent
@gpu12 PS 1436628  0.0  1320 ssh-agent
@gpu12 PS 1443615  0.0   756 ssh-agent
@gpu12 PS 1445503  0.0   820 ssh-agent
@gpu12 PS 1865874  0.0  7160 sshd
@gpu12 PS 1865883  0.0  3636 bash
@gpu12 PS 1865894  100  4620 ps
@gpu12 PS 1865895  0.0  2332 sed
@gpu12 SEEN 1785390340
