@gpu14 CPU 8 1.06
@gpu14 MEM 64219 2896
@gpu14 GPU 0, 82, 8192
@gpu14 PS 2590227  0.0 12056 systemd
@gpu14 PS 2590228  0.0  3420 (sd-pam)
@gpu14 PS 2590239  0.0  8844 pipewire
@gpu14 PS 2590240  0.0  6144 pipewire
@gpu14 PS 2590242  0.0 15916 wireplumber
@gpu14 PS 2590244  0.0 10720 pipewire-pulse
@gpu14 PS 2590257  0.0  4540 dbus-daemon
@gpu14 PS 2590289  0.0  1496 ssh-agent
@gpu14 PS 2590899  0.0  1500 ssh-agent
@gpu14 PS 2613643  0.0  1500 ssh-agent
@gpu14 PS 2668352  0.0  1500 ssh-agent
@gpu14 PS 2670817  0.0  1496 ssh-agent
@gpu14 PS 2675786  0.0  1496 ssh-agent
@gpu14 PS 2679849  0.0  1496 ssh-agent
@gpu14 PS 2688335  0.0  1496 ssh-agent
@gpu14 PS 2692282  0.0  1496 ssh-agent
@gpu14 PS 2697406  0.0  1496 ssh-agent
@gpu14 PS 2716936  0.0  1496 ssh-agent
@gpu14 PS 2744359  0.0  1500 ssh-agent
@gpu14 PS 2750077  0.0  1496 ssh-agent
@gpu14 PS 2750353  0.0  1492 ssh-agent
@gpu14 PS 2761044  0.0  1496 ssh-agent
@gpu14 PS 2763227  0.0  1500 ssh-agent
@gpu14 PS 2794298  0.0  1496 ssh-agent
@gpu14 PS 2802781  0.0  1496 ssh-agent
@gpu14 PS 2805515  0.0  1492 ssh-agent
@gpu14 PS 2817343  0.0  1496 ssh-agent
@gpu14 PS 3673049  0.0  7108 sshd
@gpu14 PS 3673050  0.0  3612 bash
@gpu14 PS 3673070  0.0  4628 ps
@gpu14 PS 3673071  0.0  2332 sed
@gpu14 SEEN 1785004304
