@willow06 CPU 16 2.13
@willow06 MEM 15813 2854
@willow06 GPU 0, 85, 4096
@willow06 PS 2655948  0.1 11444 systemd
@willow06 PS 2655949  0.0  3208 (sd-pam)
@willow06 PS 2655969  0.0  6732 pipewire
@willow06 PS 2655970  0.0  4860 pipewire
@willow06 PS 2655972  0.0 12304 wireplumber
@willow06 PS 2655974  0.0  8412 pipewire-pulse
@willow06 PS 2655994  0.0  4236 dbus-daemon
@willow06 PS 2656040  0.0  3468 bash
@willow06 PS 2656070  0.0  3308 bash
@willow06 PS 2656118  0.0  1976 bash
@willow06 PS 2656130  0.0  1956 timeout
@willow06 PS 2656131 93.2 1346012 python
@willow06 PS 2666678  0.0  4064 python
@willow06 PS 2666679 52.6 271836 python
@willow06 PS 2666680 46.7 264728 python
@willow06 PS 2878350  0.0  2076 sleep
@willow06 PS 2881084  0.0  2080 sleep
@willow06 PS 2883039  0.0  7068 sshd
@willow06 PS 2883040  0.0  3540 bash
@willow06 PS 2883050  0.0  4640 ps
@willow06 PS 2883051  0.0  2328 sed
@willow06 SEEN 1785004337
