device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 0: train 10.6757 | val 6,6: 11.5497 | 9,6: 9.7443 | 12,6: 8.7657 | 15,3: 11.9239
epoch 1: train 10.2869 | val 6,6: 11.2377 | 9,6: 9.5129 | 12,6: 8.4233 | 15,3: 11.7219
epoch 2: train 10.2131 | val 6,6: 11.0881 | 9,6: 9.4910 | 12,6: 8.4103 | 15,3: 11.6879
epoch 3: train 10.1841 | val 6,6: 11.0749 | 9,6: 9.5099 | 12,6: 8.4245 | 15,3: 11.6343
epoch 4: train 10.1557 | val 6,6: 11.0125 | 9,6: 9.4692 | 12,6: 8.3868 | 15,3: 11.6262
epoch 5: train 10.1446 | val 6,6: 11.0023 | 9,6: 9.4645 | 12,6: 8.3712 | 15,3: 11.6289
epoch 6: train 10.1321 | val 6,6: 10.9648 | 9,6: 9.4369 | 12,6: 8.3201 | 15,3: 11.6267
epoch 7: train 10.0971 | val 6,6: 10.9513 | 9,6: 9.4228 | 12,6: 8.2507 | 15,3: 11.6350
epoch 8: train 10.0978 | val 6,6: 10.9245 | 9,6: 9.3743 | 12,6: 8.2299 | 15,3: 11.6197
epoch 9: train 10.0665 | val 6,6: 10.9121 | 9,6: 9.3709 | 12,6: 8.2164 | 15,3: 11.6164
epoch 10: train 10.0487 | val 6,6: 10.8957 | 9,6: 9.3434 | 12,6: 8.2098 | 15,3: 11.6183
epoch 11: train 10.0430 | val 6,6: 10.9169 | 9,6: 9.3473 | 12,6: 8.2237 | 15,3: 11.6132
epoch 12: train 10.0315 | val 6,6: 10.8757 | 9,6: 9.3290 | 12,6: 8.1894 | 15,3: 11.6163
epoch 13: train 10.0231 | val 6,6: 10.8730 | 9,6: 9.3228 | 12,6: 8.1768 | 15,3: 11.6134
epoch 14: train 10.0175 | val 6,6: 10.8711 | 9,6: 9.3153 | 12,6: 8.1699 | 15,3: 11.6355
epoch 15: train 10.0122 | val 6,6: 10.8698 | 9,6: 9.3207 | 12,6: 8.1697 | 15,3: 11.6118
