device: cuda; sizes: [(6, 6), (9, 6)]; curve loss on: [(6, 6), (9, 6)]; lr: 0.001; H: 7
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
epoch 0: train 11.1774 | val 6,6: 11.5841 | 9,6: 9.7207
epoch 1: train 10.5577 | val 6,6: 11.2682 | 9,6: 9.6096
epoch 2: train 10.4126 | val 6,6: 11.1458 | 9,6: 9.5255
epoch 3: train 10.3386 | val 6,6: 11.0688 | 9,6: 9.5047
epoch 4: train 10.3038 | val 6,6: 11.0176 | 9,6: 9.4899
epoch 5: train 10.2786 | val 6,6: 10.9960 | 9,6: 9.4547
epoch 6: train 10.2380 | val 6,6: 10.9652 | 9,6: 9.3950
epoch 7: train 10.1978 | val 6,6: 10.9449 | 9,6: 9.3699
epoch 8: train 10.1767 | val 6,6: 10.9116 | 9,6: 9.3692
epoch 9: train 10.1536 | val 6,6: 10.8923 | 9,6: 9.3267
epoch 10: train 10.1471 | val 6,6: 10.8872 | 9,6: 9.3208
