device: cuda; sizes: [(6, 6)]; curve loss on: [(6, 6)]; lr: 0.001; H: 4
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
epoch 0: train 12.5037 | val 6,6: 11.7406
epoch 1: train 11.4772 | val 6,6: 11.2741
epoch 2: train 11.2249 | val 6,6: 11.0983
epoch 3: train 11.1462 | val 6,6: 11.0726
epoch 4: train 11.0942 | val 6,6: 10.9925
epoch 5: train 11.0309 | val 6,6: 10.9365
epoch 6: train 10.9960 | val 6,6: 10.9111
epoch 7: train 10.9668 | val 6,6: 10.8950
epoch 8: train 10.9511 | val 6,6: 10.8659
epoch 9: train 10.9296 | val 6,6: 10.8569
epoch 10: train 10.9132 | val 6,6: 10.8392
epoch 11: train 10.9047 | val 6,6: 10.8515
epoch 12: train 10.8881 | val 6,6: 10.8118
epoch 13: train 10.8786 | val 6,6: 10.8051
epoch 14: train 10.8658 | val 6,6: 10.8027
