# num_workers = 32
# num_cells = 256
# seed_for_environment = 3003
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 500
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.003
# env_reward_engineering = True
# env_minimum_number_of_qubits = 12
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data/supervisedLearning/2026-07-12_21-15-58/surrogate_6x6.pth
# model_use_pretrained_encoder = False
# index_to_unfreeze_encoder_updates = 0
# encoder_lr_factor = 0.1
# training_device = cpu
# Resolved arguments:
# Resolved_env_reward_engineering = True
# Resolved_env_bit_flipping = True
# Resolved_env_useDictObservation = True
# Resolved_env_code_logging = False
# Resolved_model_use_pretrained_encoder = False
# Resolved_trainingDevice = cpu
# Resolved_model_architecture = hybrid
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 32
# Number of workers: 32
# Does torch identify cuda: False
# encoder ***RANDOM WEIGHTS***
evaluation number	reward	policy entropy	policy entropy aX	policy entropy bX	policy entropy aY	policy entropy bY	Encoder freeze	postAction_aX	postAction_bX	postAction_aY	postAction_bY
0	0.13249999284744263	7.624974250793457	1.916703462600708	1.8698463439941406	1.905979871749878	1.932444453239441	False	[1 0 0 0 0 0]	[0 1 0 0 0 0]	[1 0 0 0 0 0]	[1 0 0 0 0 0]
0	-0.5	7.673224925994873	1.9294898509979248	1.8975491523742676	1.9076497554779053	1.9385360479354858	False	[1 0 0 1 0 0]	[0 0 0 0 0 0]	[1 0 0 0 1 0]	[1 0 0 0 0 1]
0	-1.0	7.681183815002441	1.9264299869537354	1.9178460836410522	1.9120597839355469	1.9248483180999756	False	[1 0 0 0 0 0]	[0 0 0 1 0 0]	[0 0 0 0 1 0]	[1 0 0 0 0 1]
0	0.16750000417232513	7.69965934753418	1.9316823482513428	1.9118621349334717	1.941589593887329	1.9145249128341675	False	[0 0 0 0 0 0]	[0 0 0 0 0 0]	[0 0 0 0 1 1]	[1 0 0 0 0 1]
0	-0.8333333134651184	7.680141448974609	1.9210864305496216	1.9102020263671875	1.9147065877914429	1.934146523475647	False	[0 0 0 0 1 0]	[0 0 0 1 0 0]	[1 0 0 0 1 1]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.7008466720581055	1.9341849088668823	1.9218136072158813	1.9382147789001465	1.9066333770751953	False	[0 0 0 0 1 1]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.3333333432674408	7.699449062347412	1.938058853149414	1.917809009552002	1.9417133331298828	1.9018679857254028	False	[0 0 0 0 1 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.70770788192749	1.9350628852844238	1.9156936407089233	1.932364821434021	1.924586296081543	False	[0 0 0 1 1 0]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-1.0	7.693683624267578	1.9344661235809326	1.9220054149627686	1.9430317878723145	1.8941805362701416	False	[0 0 0 1 1 1]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.664449691772461	1.9338546991348267	1.9118759632110596	1.9238994121551514	1.8948192596435547	False	[0 0 0 0 1 1]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.3333333432674408	7.69722843170166	1.938089370727539	1.9174845218658447	1.9415297508239746	1.900124430656433	False	[0 0 0 0 1 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.707209587097168	1.9341763257980347	1.914978265762329	1.933176040649414	1.9248793125152588	False	[0 0 0 1 1 0]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-1.0	7.695505142211914	1.9349591732025146	1.9221497774124146	1.9432786703109741	1.8951172828674316	False	[0 0 0 1 1 1]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.664294242858887	1.9339215755462646	1.911834955215454	1.9243550300598145	1.8941824436187744	False	[0 0 0 0 1 1]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.3333333432674408	7.7001237869262695	1.9382085800170898	1.918175220489502	1.94157874584198	1.902160882949829	False	[0 0 0 0 1 0]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.707762718200684	1.9347546100616455	1.9156458377838135	1.9325023889541626	1.9248597621917725	False	[0 0 0 1 1 0]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
0	-1.0	7.6937103271484375	1.9341185092926025	1.9219878911972046	1.9430997371673584	1.8945045471191406	False	[0 0 0 1 1 1]	[0 0 0 0 0 0]	[0 0 0 0 1 0]	[1 0 0 0 1 1]
0	-0.8333333134651184	7.66130256652832	1.9334522485733032	1.911345362663269	1.9231560230255127	1.8933489322662354	False	[0 0 0 0 1 1]	[0 0 0 1 0 0]	[1 0 0 0 1 0]	[1 0 0 0 1 1]
